Component 1,Component 2,labels
-46.33574,-19.387354,Fair
-64.20452,-5.809512,Fair
-46.1998,-20.02942,Fair
-46.99347,-19.419395,Good
-45.552837,-19.886106,Fair
56.1043,-2.779522,Good
32.350685,6.367871,Poor
22.541784,-2.5181506,Fair
43.526276,4.6603494,Fair
42.787876,4.203924,Moderate
38.157764,-13.791179,Moderate
15.889336,-8.130648,Fair
24.107155,4.858467,Fair
15.394093,0.015711866,Fair
19.625202,20.21948,Fair
11.5859375,0.23152415,Fair
10.773007,-1.2986289,Fair
11.858594,2.1617477,Fair
8.339586,-2.8011715,Fair
-0.4454402,7.4502525,Fair
20.80336,15.669714,Fair
15.4487915,15.475187,Moderate
-32.464443,-16.049492,Moderate
6.497772,-0.06885953,Fair
14.64352,16.433582,Fair
3.3117945,10.089523,Moderate
15.442249,15.759513,Fair
3.19241,8.825086,Moderate
2.8665528,9.163634,Fair
4.45165,1.2512108,Fair
-11.548487,-11.371228,Fair
-7.3286695,-1.2125825,Fair
23.54019,-19.914156,Fair
16.90564,0.652632,Fair
31.598627,4.9243417,Fair
23.554522,-3.2489305,Moderate
8.100326,-15.752213,Fair
4.695978,-27.588263,Fair
8.70681,-18.484396,Fair
